10100,0
10101,0
10102,0
10103,1
10104,1
10105,0
10106,1
10107,1
10108,0
10109,0
10110,0
10111,0
10112,0
10113,0
10114,1
10115,0
10116,0
10117,0
10118,0
10119,1
10120,0
10121,1
10122,0
10123,0
10124,0
10125,0
10126,0
10127,1
10128,0
10129,0
10130,0
10131,0
10132,1
10133,0
10134,0
10135,0
10136,0
10137,1
10138,1
10139,0
10140,1
10141,0
10142,0
10143,0
10144,0
10145,0
10146,0
10147,1
10148,0
10149,0
10150,0
10151,0
10152,1
10153,0
10154,0
10155,1
10156,0
10157,0
10158,0
10159,0
10160,0
10161,1
10162,1
10163,0
10164,0
10165,0
10166,0
10167,1
10168,0
10169,0
10170,1
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10179,0
10180,0
10181,0
10182,0
10183,0
10184,0
10185,1
10186,1
10187,0
10188,0
10189,1
10190,1
10191,1
10192,0
10193,0
10194,1
10195,1
10196,0
10197,1
10198,0
10199,1
10200,0
10201,0
10202,0
10203,0
10204,1
10205,0
10206,0
10207,0
10208,0
10209,0
10210,0
10211,1
10212,0
10213,0
10214,0
10215,0
10216,0
10217,1
10218,0
10219,0
10220,1
10221,0
10222,0
10223,0
10224,0
10225,0
10226,0
10227,0
10228,0
10229,0
10230,0
10231,0
10232,0
10233,0
10234,0
10235,1
10236,0
10237,1
10238,0
10239,0
10240,0
10241,0
10242,0
10243,0
10244,1
10245,1
10246,0
10247,1
10248,0
10249,0
10250,1
10251,0
10252,0
10253,0
10254,1
10255,1
10256,0
10257,1
10258,0
10259,0
10260,0
10261,0
10262,1
10263,1
10264,0
10265,1
10266,1
10267,1
10268,1
10269,0
10270,0
10271,0
10272,0
10273,0
10274,0
10275,0
10276,0
10277,1
10278,0
10279,0
10280,1
10281,0
10282,0
10283,0
10284,1
10285,0
10286,0
10287,0
10288,0
10289,0
10290,0
10291,0
10292,0
10293,1
10294,0
10295,1
10296,1
10297,1
10298,0
10299,0
10300,1
10301,0
10302,0
10303,0
10304,0
10305,0
10306,1
10307,0
10308,0
10309,0
10310,1
10311,0
10312,1
10313,1
10314,0
